2024-08-16 16:12:10,489 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:12:12,601 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:12:37,367 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:12:45,661 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:12:47,596 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:13:25,226 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:13:27,990 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:13:36,074 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:13:44,327 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:15:50,053 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:15:52,015 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:16:03,372 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:16:32,985 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:16:42,250 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:16:46,921 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:16:51,470 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:00,939 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:04,513 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:12,248 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:15,912 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:19,416 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:29,242 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:36,392 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:39,334 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:47,488 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:51,381 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:17:52,733 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:18:01,536 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:18:04,822 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:18:19,790 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:18:24,040 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:18:34,912 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:18:36,736 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:20:18,390 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:20:20,749 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:20:27,306 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:21:44,429 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:22:03,122 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:22:08,013 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:22:10,115 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:22:20,071 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:22:21,141 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:23:51,327 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:26:03,580 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:26:11,831 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:27:36,200 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:27:41,384 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:28:00,486 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:28:08,231 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:28:17,778 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:28:21,240 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:28:28,497 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:28:39,192 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:32:46,371 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:32:52,445 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:32:56,626 | INFO | lib | calcprint | Connected to the MySQL server
2024-08-16 16:33:08,358 | INFO | lib | calcprint | Connected to the MySQL server
