2024-08-16 16:12:10,489 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723804930.2505 | End Time: 1723804930.4900 | Execution Time: 239.4998 ms |
2024-08-16 16:12:12,601 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723804932.5337 | End Time: 1723804932.6011 | Execution Time: 67.4343 ms |
2024-08-16 16:12:37,367 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723804957.2344 | End Time: 1723804957.3672 | Execution Time: 132.8337 ms |
2024-08-16 16:12:45,661 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723804965.5093 | End Time: 1723804965.6619 | Execution Time: 152.5445 ms |
2024-08-16 16:12:47,594 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723804967.5146 | End Time: 1723804967.5949 | Execution Time: 80.2927 ms |
2024-08-16 16:13:25,225 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805005.0801 | End Time: 1723805005.2254 | Execution Time: 145.2351 ms |
2024-08-16 16:13:27,990 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805007.9175 | End Time: 1723805007.9909 | Execution Time: 73.4012 ms |
2024-08-16 16:13:36,074 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805015.9808 | End Time: 1723805016.0742 | Execution Time: 93.3695 ms |
2024-08-16 16:13:44,327 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805024.2055 | End Time: 1723805024.3273 | Execution Time: 121.8207 ms |
2024-08-16 16:15:50,053 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805149.9416 | End Time: 1723805150.0537 | Execution Time: 112.0651 ms |
2024-08-16 16:15:52,015 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805151.9426 | End Time: 1723805152.0154 | Execution Time: 72.8066 ms |
2024-08-16 16:16:03,372 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805163.2574 | End Time: 1723805163.3729 | Execution Time: 115.4499 ms |
2024-08-16 16:16:32,985 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805192.9212 | End Time: 1723805192.9854 | Execution Time: 64.2657 ms |
2024-08-16 16:16:42,250 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805202.1397 | End Time: 1723805202.2502 | Execution Time: 110.5282 ms |
2024-08-16 16:16:46,921 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805206.7759 | End Time: 1723805206.9210 | Execution Time: 145.1218 ms |
2024-08-16 16:16:51,470 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805211.3557 | End Time: 1723805211.4709 | Execution Time: 115.1204 ms |
